IP,Port,Degree
127.0.0.1,6955,0
127.0.0.1,6908,0
127.0.0.1,6750,0
127.0.0.1,6779,0
127.0.0.1,6798,0
127.0.0.1,6790,0
127.0.0.1,6895,0
127.0.0.1,6996,0
127.0.0.1,6677,0
127.0.0.1,6340,0
127.0.0.1,6466,0
127.0.0.1,6940,0
127.0.0.1,6901,0
127.0.0.1,6968,0
127.0.0.1,6866,0
127.0.0.1,6497,0
127.0.0.1,6780,0
127.0.0.1,6579,0
127.0.0.1,6978,0
127.0.0.1,6965,0
127.0.0.1,6933,0
127.0.0.1,6569,0
127.0.0.1,6842,0
127.0.0.1,6800,0
127.0.0.1,6943,0
127.0.0.1,6986,0
127.0.0.1,6447,0
127.0.0.1,6916,0
127.0.0.1,6843,0
127.0.0.1,6887,0
127.0.0.1,6437,0
127.0.0.1,6632,0
127.0.0.1,6867,0
127.0.0.1,6420,0
127.0.0.1,6984,0
127.0.0.1,6923,0
127.0.0.1,6973,0
127.0.0.1,6919,0
127.0.0.1,6374,0
127.0.0.1,6625,0
127.0.0.1,6769,0
127.0.0.1,6853,0
127.0.0.1,6974,0
127.0.0.1,6981,0
127.0.0.1,6344,0
127.0.0.1,6595,0
127.0.0.1,6829,0
127.0.0.1,6733,0
127.0.0.1,6744,0
127.0.0.1,6359,0
127.0.0.1,6656,0
127.0.0.1,6825,0
127.0.0.1,6809,0
127.0.0.1,6788,0
127.0.0.1,6863,0
127.0.0.1,6766,0
127.0.0.1,6416,0
127.0.0.1,6737,0
127.0.0.1,6555,0
127.0.0.1,6957,0
127.0.0.1,6878,0
127.0.0.1,6852,0
127.0.0.1,6831,0
127.0.0.1,6889,0
127.0.0.1,6478,0
127.0.0.1,6698,0
127.0.0.1,6693,0
127.0.0.1,6767,0
127.0.0.1,6670,0
127.0.0.1,6816,0
127.0.0.1,6512,0
127.0.0.1,6643,0
127.0.0.1,6976,0
127.0.0.1,6927,0
127.0.0.1,6892,0
127.0.0.1,6664,0
127.0.0.1,6786,0
127.0.0.1,6542,0
127.0.0.1,6644,0
127.0.0.1,6682,0
127.0.0.1,6924,0
127.0.0.1,6738,0
127.0.0.1,6681,0
127.0.0.1,6945,0
127.0.0.1,6532,0
127.0.0.1,6776,0
127.0.0.1,6815,0
127.0.0.1,6604,0
127.0.0.1,6918,0
127.0.0.1,6990,0
127.0.0.1,6991,0
127.0.0.1,6565,0
127.0.0.1,6801,0
127.0.0.1,6856,0
127.0.0.1,6817,0
127.0.0.1,6811,0
127.0.0.1,6988,0
127.0.0.1,6959,0
127.0.0.1,6917,0
127.0.0.1,6938,0
127.0.0.1,6858,0
127.0.0.1,6937,0
127.0.0.1,6553,0
127.0.0.1,6980,0
127.0.0.1,6709,0
127.0.0.1,6658,0
127.0.0.1,6836,0
127.0.0.1,6958,0
127.0.0.1,6454,0
127.0.0.1,6730,0
127.0.0.1,6714,0
127.0.0.1,6629,0
127.0.0.1,6396,0
127.0.0.1,6615,0
127.0.0.1,6503,0
127.0.0.1,6808,0
127.0.0.1,6647,0
127.0.0.1,6716,0
127.0.0.1,6883,0
127.0.0.1,6789,0
127.0.0.1,6582,0
127.0.0.1,6283,0
127.0.0.1,6339,0
127.0.0.1,6799,0
127.0.0.1,6820,0
127.0.0.1,6713,0
127.0.0.1,6558,0
127.0.0.1,6971,0
127.0.0.1,6987,0
127.0.0.1,6795,0
127.0.0.1,6848,0
127.0.0.1,6822,0
127.0.0.1,6812,0
127.0.0.1,6871,0
127.0.0.1,6821,0
127.0.0.1,6911,0
127.0.0.1,6947,0
127.0.0.1,6931,0
127.0.0.1,6894,0
127.0.0.1,6997,0
127.0.0.1,6619,0
127.0.0.1,6617,0
127.0.0.1,6602,0
127.0.0.1,6774,0
127.0.0.1,6823,0
127.0.0.1,6868,0
127.0.0.1,6772,0
127.0.0.1,6907,0
127.0.0.1,6485,0
127.0.0.1,6525,0
127.0.0.1,6995,0
127.0.0.1,6500,0
127.0.0.1,6832,0
127.0.0.1,6251,0
127.0.0.1,6961,0
127.0.0.1,6593,0
127.0.0.1,6768,0
127.0.0.1,6764,0
127.0.0.1,6357,0
127.0.0.1,6540,0
127.0.0.1,6577,0
127.0.0.1,6570,0
127.0.0.1,6491,0
127.0.0.1,6949,0
127.0.0.1,6765,0
127.0.0.1,6847,0
127.0.0.1,6653,0
127.0.0.1,6707,0
127.0.0.1,6999,0
127.0.0.1,6921,0
127.0.0.1,6673,0
127.0.0.1,6804,0
127.0.0.1,6784,0
127.0.0.1,6834,0
127.0.0.1,6608,0
127.0.0.1,6756,0
127.0.0.1,6692,0
127.0.0.1,6631,0
127.0.0.1,6440,0
127.0.0.1,6876,0
127.0.0.1,6869,0
127.0.0.1,6879,0
127.0.0.1,6888,0
127.0.0.1,6992,0
127.0.0.1,6452,0
127.0.0.1,6543,0
127.0.0.1,6840,0
127.0.0.1,6518,0
127.0.0.1,6928,0
127.0.0.1,6929,0
127.0.0.1,6791,0
127.0.0.1,6728,0
127.0.0.1,6460,0
127.0.0.1,6510,0
127.0.0.1,6557,0
127.0.0.1,6609,0
127.0.0.1,6607,0
127.0.0.1,6520,0
127.0.0.1,6711,0
127.0.0.1,6263,0
127.0.0.1,6747,0
127.0.0.1,6819,0
127.0.0.1,6537,0
127.0.0.1,6818,0
127.0.0.1,6904,0
127.0.0.1,6854,0
127.0.0.1,6886,0
127.0.0.1,6642,0
127.0.0.1,6948,0
127.0.0.1,6701,0
127.0.0.1,6364,0
127.0.0.1,6296,0
127.0.0.1,6546,0
127.0.0.1,6622,0
127.0.0.1,6472,0
127.0.0.1,6862,0
127.0.0.1,6534,0
127.0.0.1,6813,0
127.0.0.1,6473,0
127.0.0.1,6983,0
127.0.0.1,6824,0
127.0.0.1,6672,0
127.0.0.1,6960,0
127.0.0.1,6742,0
127.0.0.1,6384,0
127.0.0.1,6932,0
127.0.0.1,6849,0
127.0.0.1,6759,0
127.0.0.1,6814,0
127.0.0.1,6330,0
127.0.0.1,6388,0
127.0.0.1,6399,0
127.0.0.1,6320,0
127.0.0.1,6585,0
127.0.0.1,6410,0
127.0.0.1,6508,0
127.0.0.1,6402,0
127.0.0.1,6612,0
127.0.0.1,6576,0
127.0.0.1,6860,0
127.0.0.1,6913,0
127.0.0.1,6527,0
127.0.0.1,6771,0
127.0.0.1,6946,0
127.0.0.1,6743,0
127.0.0.1,6898,0
127.0.0.1,6865,0
127.0.0.1,6723,0
127.0.0.1,6614,0
